Product code;Language;Vendor;Product id;Category
"";"en";"EL-Mokhtar";"2780";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2781";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة""";"en";"EL-Mokhtar";"2782";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2783";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2784";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2785";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2786";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2787";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2788";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2789";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2790";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2791";"SMALL HOME APPLIANCES ///Vacuum cleaner"
